dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
irrelevant,"ACGMT (top1, no-std)",1024,0.25004117690054123,0.3207639161791833,0.9935274534654042,0.9924743283158473,0.3984742180553437,0.44491343109135434,0.7110275999875739,0.005708999990019947
irrelevant,"ACGMT (top3, std)",1024,0.2490970586570737,0.31183608372633836,0.9935518928371139,0.9926837905792201,0.3957407550945396,0.4398328746155643,1.590555900009349,0.0020804000087082386
irrelevant,ACGMT (full),1024,0.2681216163346401,0.31719220719712443,0.993059424610902,0.992558126735166,0.40680992296169305,0.44255931443096835,2.1878958999877796,0.0020411000004969537
interaction,Ridge,42,5.116171984101593,5.005054268109825,0.37751762931408694,0.41733960209545584,1.7267591412291672,1.728775301307938,0.0022677999804727733,0.000437400012742728
interaction,CART,42,1.7581781691072051,1.9544551397135588,0.7860832438403152,0.7724732743363143,0.9842780421900643,1.0238483895022028,0.013543099979870021,0.0006072999676689506
interaction,RandomForest,42,1.2347203725062594,1.3914428689859693,0.8497721212265197,0.8380160109610593,0.7831434248437997,0.8172130054876443,1.1513913000235334,0.01412249996792525
interaction,GradientBoosting,42,0.23740295773946452,0.33491586502165915,0.9711152876797867,0.9610109699666133,0.3886309604774453,0.4404840338577294,1.658563300035894,0.002165100013371557
interaction,RHM (original),42,4.032975000321576,4.663122191323637,0.5093097247476455,0.45714542022333937,1.4963274581762342,1.5817768385917965,0.9120238000177778,1.5038199999835342
interaction,"ACGMT (top1, no-std)",42,4.032975000321576,4.663122191323638,0.5093097247476455,0.45714542022333926,1.4963274581762342,1.5817768385917965,0.35636480001267046,0.003609799954574555
interaction,"ACGMT (top3, std)",42,0.40383639309313424,0.4448740339846065,0.9508654055956242,0.9482102555190152,0.46583500494303853,0.4690750407774822,1.2159934000228532,0.007685400021728128
interaction,ACGMT (full),42,0.41867383228584754,0.44673313389880287,0.9490601409656843,0.9479938295148753,0.46150108641808163,0.46506273133202114,2.6425670000026003,0.002641199971549213
interaction,Ridge,123,5.263193209354759,4.804375805471608,0.3740344883707717,0.4137650824213921,1.7436296570397611,1.6823084997454925,0.002187600010074675,0.00032490002922713757
interaction,CART,123,1.6101555680599482,1.8558217634126415,0.8084999326697984,0.7735507040736166,0.9661973147261721,0.9902045727349489,0.01642810000339523,0.0014436000492423773
interaction,RandomForest,123,1.2760753172129453,1.3342823827047527,0.8482329819477485,0.837189480106724,0.803150107133677,0.8030101916190514,1.4274946000077762,0.014269000035710633
